Song_name,Singer,Language,,,,,,,,,,,,,,,,
Onde Ondu Aaseyu,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Kodaginolu Bedaginolu,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Olave Jeevana (Female),P. Susheela,Kannada,,,,,,,,,,,,,,,,
Kaamalada Hoovinda,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Nalla Ennale Ninna,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Aakaasha Deepavu Neenu (Sad),S. Janaki,Kannada,,,,,,,,,,,,,,,,
Kousalya Supraja Rama - Psusheela,P. Susheela,Kannada,,,,,,,,,,,,,,,,
Kannu Reppe,S. Janaki|P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Haavina Dwesha Hanneradu Varusha,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Kannu Kannu,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
