song_name,singer,language
De De Pyar De (Male),Kishore Kumar,Hindi
Mere Dil Mein Aaj Kya Hai,Kishore Kumar,Hindi
Mera Kuchh Samaan,Asha Bhosle,Hindi
Aaj Kahin Na Ja,Kishore Kumar|Lata Mangeshkar,Hindi
Jawani Jan-E-Man,Asha Bhosle,Hindi
Ek Hasina Thi Ek Diwana Tha,Asha Bhosle|Kishore Kumar|Rishi Kapoor,Hindi
Yeh Dosti Hum Nahin,Kishore Kumar|Manna Dey,Hindi
Dil Deewana,Lata Mangeshkar,Hindi
Tujhse Naraz Nahin Zindagi,Lata Mangeshkar|Gulzar,Hindi
Dream Girl,Kishore Kumar,Hindi
Ek Main Aur Ek Tu,Asha Bhosle|Kishore Kumar,Hindi
Bade Achhe Lagte Hain,Amit Kumar,Hindi
Yeh Tera Ghar Yeh Mera Ghar,Chitra Singh|Jagjit Singh,Hindi
Ae Phoolon Ki Rani,Mohammed Rafi,Hindi
Muqaddar Ka Sikandar,Kishore Kumar,Hindi
Yeh Kya Hua,Kishore Kumar,Hindi
Ek Do Teen Char,Alka Yagnik,Hindi
Jai Jai Shiv Shankar,Kishore Kumar|Lata Mangeshkar,Hindi
Dil Dhundta Hai,Bhupinder Singh|Lata Mangeshkar,Hindi
Shokhiyon Mein Ghola Jaye,Kishore Kumar|Lata Mangeshkar,Hindi
Zindagi Ka Safar,Kishore Kumar,Hindi
Sheesha Ho Ya Dil Ho,Lata Mangeshkar,Hindi
Baharo Phool Barsao,Mohammed Rafi,Hindi
Tera Naam Liya,Anuradha Paudwal|Manhar Udhas,Hindi
Tu Kahan Ye Bata,Mohammed Rafi,Hindi
O Mere Sona Re Sona,Asha Bhosle|Mohammed Rafi,Hindi
Tamma Tamma Loge,Anuradha Paudwal|Bappi Lahiri,Hindi
Raat Baaqi Baat Baaqi,Asha Bhosle|Bappi Lahiri|Shashi Kapoor,Hindi
Mil Gaya Humko Saathi Mil Gaya,Kishore Kumar|Asha Bhosle,Hindi
Din Dhal Jaye Haye,Mohammed Rafi,Hindi
In Ankhon Ki Masti,Asha Bhosle,Hindi
Ab Ke Sajan Sawan Mein,Lata Mangeshkar,Hindi
Tumne Mujhe Dekha Hokar Meherban,Mohammed Rafi,Hindi
Mujhe Naulakha Mangawa De Re,Asha Bhosle|Kishore Kumar,Hindi
Kisi Raah Men Kisi Mod Par,Lata Mangeshkar|Mukesh,Hindi
Mann Ki Lagan,Rahat Fateh Ali Khan,Hindi
Chhoti Si Kahani Se,Asha Bhosle,Hindi
Meri Sanson Mein,Udit Narayan,Hindi
Tumse Milkar Na Jane,Lata Mangeshkar|Shabbir Kumar,Hindi
Ho Pardesia,Kishore Kumar|Lata Mangeshkar,Hindi
Achha To Hum Chalte Hain,Kishore Kumar|Lata Mangeshkar,Hindi
Dil Kya Kare,Kishore Kumar,Hindi
Right Here Right Now,Abhishek Bachchan|Sunidhi Chauhan,Hindi
Mehbooba Mehbooba,R. D. Burman,Hindi
Loote Koi Man Ka Nagar,Lata Mangeshkar|Manhar Udhas,Hindi
Sun Sahiba Sun,Lata Mangeshkar,Hindi
Yeh Mera Dil Yaar Ka Diwana,Asha Bhosle,Hindi
Ab Tere Dil Mein To,Alka Yagnik|Kumar Sanu,Hindi
Badan Pe Sitare Lapete Huye,Mohammed Rafi,Hindi
I Am A Disco Dancer,Vijay Benedict,Hindi
Aaja Re O Mere,Lata Mangeshkar|Nitin Mukesh,Hindi
Suno Kaho Suna,Kishore Kumar|Lata Mangeshkar,Hindi
Main Pal Do Pal Ka Shair Hoon,Mukesh,Hindi
Ek Din Bik Jayega Mati Ke Mol (Happy),Mukesh,Hindi
Woh Kagaz Ki Kashti (Part 1),Jagjit Singh,Hindi
Zindagi Kaisi Hai Paheli,Manna Dey,Hindi
Aao Na Gale Lag Jao Na,Asha Bhosle,Hindi
Mere Mehboob Tujhe Meri Muhabbat,Mohammed Rafi,Hindi
Jhilmil Sitaron Ka Angan Hoga,Lata Mangeshkar|Mohammed Rafi,Hindi
Na Jiya Lage Na,Lata Mangeshkar,Hindi
Dil Cheez Kya Hai,Asha Bhosle,Hindi
Phir Wohi Raat Hai Khwab Ki,Kishore Kumar,Hindi
Pag Ghunghroo Baandh,Kishore Kumar,Hindi
Naam Goom Jayega,Lata Mangeshkar|Bhupinder Singh,Hindi
Likha Hai Teri Ankhon Mein,Kishore Kumar|Lata Mangeshkar,Hindi
Yeh Jo Mohabbat Hai,Kishore Kumar,Hindi
Tu Hi Meri Shab Hai,K.K.,Hindi
Yeh Reshmi Zulfen,Mohammed Rafi,Hindi
Aye Watan Tere Liye,Mohammad Aziz,Hindi
Main Shair To Nahin,Shailender Singh,Hindi
Piya Tose Naina Lage Re,Lata Mangeshkar,Hindi
Jo Wada Kiya Woh Nibhana Padega (Sad),Lata Mangeshkar|Mohammed Rafi,Hindi
Mera Jeevan Kora Kagaz,Kishore Kumar,Hindi
O Meri Soni Meri Tamanna,Asha Bhosle|Kishore Kumar,Hindi
So Gaya Yeh Jahan,Nitin Mukesh|Shabbir Kumar|Alka Yagnik,Hindi
Mujhe Teri Mohabbat Ka Sahara,Lata Mangeshkar|Mohammed Rafi,Hindi
Phoolon Ka Taron Ka (Part 2),Kishore Kumar,Hindi
Lakdi Ki Kathi,Gauri Bapat|Gurpreet Kaur|Vanita Mishra,Hindi
Mere Naina Sawan Bhadon,Kishore Kumar,Hindi
Diwana Leke Aaya Hai,Kishore Kumar,Hindi
Yaar Ki Khabar Mil Gai,Asha Bhosle|Kishore Kumar,Hindi
Tere Liye Palkon Ki Jhalar,Lata Mangeshkar,Hindi
Ho Gayi Hai Mohabbat,Aslam,Hindi
Zindagi Pyar Ka Geet Hai - Kishore Kumar,Kishore Kumar,Hindi
Solah Baras Ki Bali Umar,Lata Mangeshkar|Anup Jalota,Hindi
Sawan Ka Mahina,Lata Mangeshkar|Mukesh,Hindi
Tu Is Tarah Se Mere Zindagi Main,Mohammed Rafi,Hindi
Tujh Sang Preet,Kishore Kumar|Lata Mangeshkar,Hindi
Humko Tumse Ho Gaya Hai Pyar,Kishore Kumar|Lata Mangeshkar|Mohammed Rafi|Mukesh,Hindi
Jab Chhaye Mera Jadoo,Asha Bhosle,Hindi
Dikhai Diye Yun,Lata Mangeshkar,Hindi
Yeh Dil Na Hota Bechara,Kishore Kumar,Hindi
Ya Ali,Zubeen Garg,Hindi
Aaye Tum Yaad Mujhe,Kishore Kumar,Hindi
Tum Saath Ho Jab Apne,Asha Bhosle|Kishore Kumar,Hindi
Silli Hawa Chhoo Gai,Lata Mangeshkar,Hindi
Rang Barse Bheege Chunarwali,Amitabh Bachchan,Hindi
Uthe Sabke Kadam Dekho Ram Pam Pam,Amit Kumar|Lata Mangeshkar|Pearl Padamse,Hindi
Manzilen Apni Jagah Hai,Kishore Kumar,Hindi
Main Solah Baras Ki,Kishore Kumar|Lata Mangeshkar,Hindi
Dum Maro Dum,Asha Bhosle,Hindi
Suniye Kahiye Kahiye,Asha Bhosle|Kishore Kumar,Hindi
Kya Ghazab Karte Ho Ji,Asha Bhosle,Hindi
Rang Barse Bheege Chunarwali,Amitabh Bachchan,Hindi
Jis Gali Mein Tera Ghar,Mukesh,Hindi
My Name Is Lakhan,Mohammad Aziz|Anuradha Paudwal,Hindi
Main Zindagi Ka Saath Nibhata Chala Gaya,Mohammed Rafi,Hindi
Mausam Hai Ashiqana,Lata Mangeshkar,Hindi
Rangeela Re,Lata Mangeshkar,Hindi
Tum Agar Saath Dene Ka Vada Karo,Mahendra Kapoor,Hindi
Na Jane Kyon Hota Hai,Lata Mangeshkar,Hindi
Kabhi Kabhi Mere Dil Mein (Solo),Mukesh,Hindi
Na Jane Kya Hua,Lata Mangeshkar,Hindi
Neela Aasman So Gaya (Female),Lata Mangeshkar,Hindi
Ye Ladki Zarasi Diwani Lagti Hai,Amit Kumar|Asha Bhosle,Hindi
Piya Bina Piya Bina,Lata Mangeshkar,Hindi
Aaya Mausam Dosti Ka,Lata Mangeshkar|Usha Mangeshkar|S. P. Balasubrahmanyam|Shailender Singh,Hindi
Kitna Pyara Wada Hai,Lata Mangeshkar|Mohammed Rafi,Hindi
Dushman Na Kare Dost Ne Wo Kaam Kiya Hai,Lata Mangeshkar|Amit Kumar,Hindi
Intaha Ho Gai Intezar Ki,Asha Bhosle|Kishore Kumar,Hindi
Mere Pyar Ki Umar Ho Itnee Sanam,Manmohan Singh|Lata Mangeshkar,Hindi
Gali Gali Mein,Manhar Udhas|Alka Yagnik,Hindi
Jane Kahan Gaye Woh Din,Mukesh,Hindi
Tune Bechain Itna Ziada Kiya,Mohammad Aziz|Anuradha Paudwal,Hindi
Tere Mere Beech Mein,Lata Mangeshkar|S. P. Balasubrahmanyam,Hindi
Zindagi Ke Safar Mein,Kishore Kumar,Hindi
Chitthi Aai Hai,Pankaj Udhas,Hindi
Khali Hath Sham Aai Hai,Asha Bhosle,Hindi
O Majhi Re Apna Kinara,Kishore Kumar,Hindi
