song_name,singer,language
Ekantha Vela,S. P. Balasubrahmanyam|S. Janaki,Telugu
Mabbullo Yemundhi,Ghanatasala|P. Susheela,Telugu
Komma Kommako,S. P. Balasubrahmanyam|P. Susheela,Telugu
Ide Ide Jeevitham,S. P. Balasubrahmanyam,Telugu
Hey Naughty,S. P. Balasubrahmanyam|S. Janaki,Telugu
Padhi Mandhilo Paata Paadinaa,Ghanatasala,Telugu
Kanne Pillavani,S. Janaki|S. P. Balasubrahmanyam,Telugu
Ivvu Ivvu,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Ye Theega Poovuno,S. P. Balasubrahmanyam,Telugu
Oh Bata Saari,S. P. Balasubrahmanyam,Telugu
Vedam Anuvanuvuna,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Kinnerasani Vachindamma,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Kadaveththu Kochchindhi,Ghanatasala|P. Susheela,Telugu
Sindhura Puvva,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Vayaso Namaha,S. P. Balasubrahmanyam|S. Janaki,Telugu
Pachchadanamey,Hariharan|Clinton Cerejo,Telugu
Kotaloni Monagada,Ghanatasala|P. Susheela,Telugu
Lali Jo Lali Jo,S. P. Balasubrahmanyam,Telugu
Janma Metthithira,Ghanatasala,Telugu
Nene Nene Hero,S. P. Balasubrahmanyam,Telugu
Ve Vela Gopemmala,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Aa Devudela Vuntaadani,Ghanatasala|P. Susheela,Telugu
Polimeradhatipothunna,S. P. Balasubrahmanyam|B. Vasantha,Telugu
Maanava Seva,K J Yesudas,Telugu
Sandya Ragapu,S. P. Balasubrahmanyam|S. Janaki,Telugu
Ee Chempaku Selaveeyaku,S. P. Balasubrahmanyam|P. Susheela,Telugu
O Chaminthi Emite,Ghanatasala|P Suhseela,Telugu
Jai Sri Shirdi,V.Rama Krishna,Telugu
Pade Pade Kannulive,Ghanatasala|P. Susheela,Telugu
Dharmam,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Kaliki Chilaka,S. P. Balasubrahmanyam|S. Janaki,Telugu
Giliga Gili,S. P. Balasubrahmanyam|S. Janaki,Telugu
Atu Amalapuram,S. Janaki,Telugu
Prema Yatralaku,Ghanatasala|P. Susheela,Telugu
Ee Mounam Ee Bidiyam,Ghanatasala|P Suhseela,Telugu
Godave Godavamma,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Rananukunnaremo,Ghanatasala|P. Susheela,Telugu
Thakita Thadhimi,S. P. Balasubrahmanyam,Telugu
Cheppalani Vundhi,Ghanatasala|P. Susheela,Telugu
Om Shanthi Om,S. P. Balasubrahmanyam,Telugu
Oh Bangaru Rangulachilaka,P. Susheela|S. P. Balasubrahmanyam,Telugu
Adhirindhi Mama,S. P. Balasubrahmanyam|P. Susheela,Telugu
Om Namah Sivaaya,S. Janaki,Telugu
Ekku Bandekku Mava,Mano|P. Susheela,Telugu
Neeli Meghaalalo (Male),Ghanatasala,Telugu
Idhe Daiva Mahima,Ghanatasala,Telugu
Sarasalu,Mano|S. Janaki,Telugu
Andam Sharanam,S. P. Balasubrahmanyam|P. Susheela,Telugu
Nee Letha Gulabi,Ghanatasala,Telugu
Manase Vennelaga,Ghanatasala|P. Susheela,Telugu
Jingu Jingu Cheera,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Emo Emo,Ghanatasala|S. Janaki,Telugu
Saapatu Yetu Ledhu,S. P. Balasubrahmanyam,Telugu
Chengaavi Rangucheera,Ghanatasala|P. Susheela,Telugu
Punnami Raathri,S. P. Balasubrahmanyam,Telugu
Padhaahaarellaku,S. Janaki,Telugu
Sinne Sinne Korikaladaga,S. Janaki,Telugu
Pilichina Palukavu,Ghanatasala|P. Susheela,Telugu
Bava Bava Banthi Puvva,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nenu Puttanu,Ghanatasala,Telugu
Aakasamlo Oka Tara,Rajeethram|P. Susheela,Telugu
Prakruthi Kanthaku,S. P. Balasubrahmanyam,Telugu
Maamilla Thopukaada,S. P. Balasubrahmanyam|P. Susheela,Telugu
Vedam Anuvanuvuna,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Ye Theega Poovuno,Kamal Haasan|P. Susheela,Telugu
Koluvye Unnade,S. P. Balasubrahmanyam|P. Susheela,Telugu
Vana Megham,K. S. Chithra,Telugu
Aa Mabbu Theralalona (Happy),Ghanatasala|P. Susheela,Telugu
Ilalo,S. P. Balasubrahmanyam|S. Janaki,Telugu
Kanne Pillatoti,S. P. Balasubrahmanyam|S. Janaki,Telugu
Regutunna Dhoka,S. P. Balasubrahmanyam,Telugu
Patallo,P. Susheela|N.S. Prakash Rao,Telugu
Madhuramaina Reyilo,Ghanatasala|P. Susheela,Telugu
Thalli Dhandaale,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Kurraallu,S. P. Balasubrahmanyam,Telugu
Nannu Bilachithiva,B. Vasantha|Chorus,Telugu
Cheera Kattindhi,S. P. Balasubrahmanyam|P. Susheela,Telugu
Oke Mata Oke Pata,S. P. Balasubrahmanyam,Telugu
Rojalo Letha Roja,Vani Jairam,Telugu
Krushivunte,S. P. Balasubrahmanyam,Telugu
Ekkada Ekkada,S. P. Sailaja,Telugu
Evarikosam Evarikosam,Ghanatasala,Telugu
Mounamela Noyee,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nee Andam,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
